property_name,transaction_date,moving_transaction_sum
"Alexander, Gordon and Cox",2024-07-09,-4639252
Alvarez-Wilson,2024-07-16,8267822
"Atkinson, Fuller and Ingram",2024-01-03,-1054397
"Banks, Coleman and Joyce",2024-01-31,-4599220
"Barr and Sons",2024-05-17,-5649130
"Beltran PLC",2024-07-12,3232336
"Best, Brown and Anderson",2024-10-23,-9618108
"Brewer, Henry and Ryan",2024-06-01,5080019
"Brewer, Henry and Ryan",2024-08-03,2013065
Brown-Riley,2024-04-28,-5317336
Brown-Smith,2024-07-07,-1756081
Buck-Anderson,2024-10-15,-3030580
"Burns, Castro and Mora",2024-03-21,2717378
"Cameron, Park and Willis",2023-11-14,-1453259
"Campbell Inc",2024-01-23,-6114089
Campbell-Rodriguez,2024-02-20,-1347664
Campbell-Rodriguez,2024-07-15,-2689856
Chandler-Campbell,2024-03-22,5111386
"Choi Inc",2024-07-07,7727410
Cruz-Green,2024-05-03,-8664456
Cruz-Green,2024-09-18,-3697931
"Cunningham, Berry and Howard",2024-05-16,-7670854
"Davies, Mccoy and Cox",2024-10-25,-2550802
Davis-Quinn,2024-06-07,-2456051
"Douglas LLC",2024-06-21,-9868773
"Doyle LLC",2024-09-17,-2671703
Edwards-Miller,2023-11-16,-6495718
Edwards-Stewart,2024-06-30,-4160365
Ellis-Barker,2024-10-04,-3761432
"Estrada PLC",2024-05-12,-3209413
"Estrada PLC",2024-08-28,-12304607
"Evans, Hardin and Rodriguez",2023-11-13,4404885
"Evans, Hardin and Rodriguez",2024-05-13,-4672589
Gardner-Young,2023-12-15,9679992
Gardner-Young,2024-01-04,5079617
Garrett-Edwards,2024-10-23,-3173978
"Gomez LLC",2024-02-28,7411692
"Gregory, Hensley and Ross",2024-09-02,5204137
Griffin-Miller,2023-11-21,-8939389
"Guerrero PLC",2024-03-23,9562841
"Guerrero, Cain and Arnold",2024-03-17,6582356
"Guerrero, Roberts and Taylor",2024-04-23,-3553774
Hawkins-Scott,2024-04-19,-5926318
Hernandez-Hebert,2024-06-12,-7974699
"Higgins Group",2024-03-12,-1963646
"Hoffman, Hensley and Martinez",2024-04-17,-5659983
Holmes-Barrett,2024-06-10,6032230
"Howard Inc",2024-05-24,-615088
"Howard Inc",2024-06-08,-1612562
"Huang, Clark and Foster",2024-04-02,-6511446
"Jenkins, Jackson and Lopez",2024-10-07,-5679791
"Johnson and Sons",2023-12-28,-9239642
Johnson-Beltran,2024-09-26,-9385351
Johnson-Reeves,2024-04-27,-3752412
"Knight, Henry and Chandler",2023-11-06,4394308
Lee-Martinez,2024-06-09,9327607
"Lopez Inc",2023-12-30,-3930134
"Lynn PLC",2024-10-24,8694480
"Mann Group",2023-11-14,-4474698
Martin-Jones,2024-10-06,9917127
Martin-Wood,2023-12-12,-9705421
Martin-Wood,2024-04-18,-6988359
"Martinez Inc",2024-08-13,2164304
"Martinez Inc",2024-10-09,1317269
Martinez-Phillips,2024-06-27,-1795659
"Martinez, Cox and Malone",2023-12-06,-8683313
"Martinez, Cox and Malone",2024-10-03,-12177886
"Mays Ltd",2023-12-14,6824704
Mckee-Jensen,2024-07-14,-5641795
"Mckinney LLC",2024-04-15,-2353093
Miller-Smith,2023-11-30,-5713140
Molina-Thompson,2023-11-10,-685398
Molina-Thompson,2024-08-11,4812521
Moon-Ball,2024-06-15,-258253
"Murray Group",2024-06-10,-4118161
Nelson-Phillips,2023-12-10,5996926
Nielsen-Peterson,2024-10-22,-7434272
"Orozco Ltd",2024-10-02,-3374609
"Parrish Inc",2024-09-23,-9671846
Patel-Waters,2024-05-12,-1788113
"Perez Group",2024-10-04,7749362
"Perkins Group",2024-06-03,-9914293
"Peters Inc",2024-10-16,-7924679
Phillips-Smith,2023-12-23,-7813748
"Ramirez, Lopez and Trevino",2024-01-06,-5839738
"Ramirez, Lopez and Trevino",2024-02-16,-14936641
"Rangel and Sons",2024-02-08,-3866873
"Richards, Rosario and Garcia",2023-11-19,-5499093
"Riddle LLC",2024-08-07,7743845
"Rivas LLC",2023-10-30,-4777822
Rodriguez-Morrow,2023-11-03,-8766919
Rodriguez-Morrow,2024-05-07,-13308722
"Roman, Patterson and Barton",2024-05-19,-2040440
Ryan-Adams,2024-04-04,5494262
"Santiago Group",2024-01-10,1689935
Sims-Arnold,2024-06-11,3081085
Sims-Arnold,2024-09-26,4490091
"Soto, Higgins and Lopez",2024-08-06,6334704
"Spencer, Townsend and Woods",2024-02-03,-2404214
"Stewart Ltd",2024-08-25,-6865204
"Thomas Ltd",2023-11-12,-5889300
"Thomas, Atkinson and Lopez",2023-12-16,-7721296
"Thomas, Atkinson and Lopez",2024-09-18,-13360066
"Thompson Group",2023-12-09,3473234
"Thompson Group",2024-04-09,-5429995
Turner-Carter,2024-01-13,-9864856
"Villanueva, Miller and Lopez",2024-04-24,-2675968
"Waller PLC",2024-04-16,-2694414
"Walton, Freeman and Cruz",2024-08-24,5200335
"Walton, Freeman and Cruz",2024-08-30,10898516
"Ward Group",2024-01-27,7807064
Warren-Mccormick,2023-11-04,-9236245
"Watson LLC",2024-03-20,3207505
"Williams, Newman and Williamson",2024-01-19,-6486800
"Williams, Newman and Williamson",2024-05-25,-12326045
"Williams, Newman and Williamson",2024-10-14,-21429377
"Wilson Group",2024-07-20,-3144637
"Wilson, Davenport and Wyatt",2024-04-26,-7482610
"Wilson, Davenport and Wyatt",2024-08-21,-1715665
Young-Abbott,2024-04-16,-128737
