property_name,lease_length_months,lease_length_years
Wagner-Acevedo,118,9
"Rogers and Sons",117,9
"Waller PLC",116,9
Montgomery-Douglas,115,9
"Guerrero, Roberts and Taylor",115,9
"Hendricks Group",115,9
"Mann Group",115,9
Griffin-Miller,115,9
"Freeman Group",115,9
"Palmer and Sons",114,9
Holmes-Barrett,114,9
"Salazar, Kennedy and Pierce",113,9
"Thompson, Silva and Odom",112,9
"Myers Ltd",112,9
Bennett-Benson,111,9
"Herrera PLC",111,9
Moore-Irwin,111,9
Johnson-Reeves,111,9
"Burton, Chase and Garcia",111,9
"Mccann, West and Rodriguez",111,9
"Parks, Garcia and Walker",110,9
Buck-Anderson,110,9
Sims-Arnold,110,9
Nelson-Phillips,110,9
"Lopez, Ingram and Hodge",109,9
"Faulkner LLC",109,9
"Mcpherson, Wilson and Miles",109,9
"Garcia Ltd",109,9
"Villarreal and Sons",109,9
Nelson-Gonzalez,109,9
"Jenkins, Jackson and Lopez",109,9
"Best, Brown and Anderson",109,9
"Austin, Cross and Mclean",109,9
"George, Callahan and Ochoa",108,9
"Perez, Fernandez and Wong",108,9
"Ortega Inc",108,9
"Vasquez, Willis and Little",108,9
"Velasquez PLC",107,8
"Velasquez PLC",107,8
"Estes and Sons",107,8
Freeman-Martinez,107,8
Potter-Davis,107,8
"Parrish Inc",107,8
"Cook and Sons",107,8
"Martin Group",107,8
Saunders-Cooper,106,8
"Ortiz, Marshall and Phillips",106,8
"Rodriguez Group",106,8
"Thomas LLC",106,8
"Myers Ltd",106,8
"Willis Ltd",106,8
"Anderson, Anthony and Lewis",105,8
"Hill, Gonzales and Hansen",105,8
"Stewart, Howard and Bowers",105,8
"Martinez, Small and Cunningham",105,8
"Gentry Inc",105,8
"Anderson LLC",105,8
"Martinez, Cox and Malone",105,8
"Campos, Burgess and Webb",105,8
"Bush LLC",105,8
"Williams and Sons",105,8
"Smith, Wise and Nelson",105,8
"Boyd Ltd",105,8
Ryan-Adams,105,8
"Evans LLC",104,8
"Lopez Inc",104,8
"Jones, Nelson and Jones",104,8
"York PLC",104,8
Freeman-Martinez,104,8
"Rivas LLC",104,8
Peters-Brown,104,8
Ryan-Adams,104,8
Stevens-Smith,103,8
Lopez-Rodriguez,103,8
Goodwin-Bishop,103,8
Holmes-Barrett,103,8
"Elliott Group",103,8
Fernandez-Peterson,103,8
"Tate Inc",103,8
"Bradley Inc",103,8
"Werner Group",103,8
Johnson-Mckinney,103,8
"Cunningham Inc",103,8
"Arnold, Lam and Case",103,8
"Pierce, Payne and Scott",103,8
Roberts-Brooks,103,8
"Austin, Miller and Thomas",103,8
Turner-Ortiz,103,8
"Sanchez Inc",103,8
Hunt-Bender,102,8
"Murray Group",102,8
Jones-Atkins,102,8
"Perez Group",102,8
Freeman-Martinez,102,8
"Carpenter, Washington and Ramirez",102,8
"Brewer, Abbott and Bolton",102,8
"Lee, Juarez and Mason",102,8
"Parks, Garcia and Walker",101,8
"Guerrero, Roberts and Taylor",101,8
"Jackson, Davis and Gill",101,8
"Henderson, Townsend and Gordon",101,8
Potter-Davis,101,8
"Ramirez, Lopez and Trevino",101,8
"Lewis LLC",101,8
Craig-Foster,101,8
Cline-Hill,101,8
"Barron, Thomas and Arias",101,8
"Carpenter, Yang and Barton",101,8
"Ramirez, Ramirez and Jackson",101,8
"Mckinney, White and Mason",100,8
Miller-Smith,100,8
Price-Le,100,8
"Miller Inc",100,8
"Mann Group",100,8
"Peters Inc",100,8
"Mckinney LLC",100,8
"Casey and Sons",100,8
Cooper-Michael,100,8
"Carpenter, Yang and Barton",100,8
"Anderson, Anthony and Lewis",99,8
"Perez Inc",99,8
Cunningham-Floyd,99,8
"Gonzalez Ltd",99,8
"Watson Group",99,8
Holmes-Barrett,99,8
"Henderson, Townsend and Gordon",99,8
"Brennan and Sons",99,8
"Nguyen, Lewis and Smith",99,8
"Lewis, Douglas and Richard",99,8
"Bennett, Hess and Hernandez",98,8
"Ryan and Sons",98,8
Miranda-Ruiz,98,8
Smith-Allison,98,8
"Warren and Sons",98,8
"King, Cobb and Campbell",98,8
"Doyle LLC",98,8
"Cooper Group",98,8
"Watson Group",98,8
Contreras-Delgado,98,8
"Roberts, Brown and Wheeler",98,8
"Adkins LLC",98,8
"Fuller Group",98,8
"Nguyen Ltd",98,8
"Lee, Juarez and Mason",98,8
"Miles, Hill and Bell",97,8
"Myers LLC",97,8
Lopez-Rodriguez,97,8
"Elliott Group",97,8
"Martinez Ltd",97,8
Weber-Gibson,97,8
"Thomas LLC",97,8
"Ramirez Inc",97,8
"Yates Ltd",97,8
"Mckinney LLC",97,8
"Kelly Inc",97,8
"Ellis LLC",96,8
Davis-Wood,96,8
Hernandez-Sanders,96,8
Kelley-Lamb,96,8
"Hernandez, Jackson and Nguyen",96,8
Peterson-Webb,96,8
"Adkins LLC",96,8
"Garcia Inc",96,8
"Yates Ltd",96,8
Sanchez-Hunter,96,8
"Rivas LLC",96,8
"Walton, Freeman and Cruz",96,8
"Smith Group",96,8
Sanchez-Gibson,96,8
"Ryan, Williams and Clay",96,8
"Nelson LLC",96,8
"Bennett, Hess and Hernandez",95,7
"Price PLC",95,7
"Johnson, Powell and Walker",95,7
"Lara Group",95,7
"Warren and Sons",95,7
"Hill, Perkins and Fleming",95,7
Edwards-Miller,95,7
"Thomas, Atkinson and Lopez",95,7
"Gregory, Hensley and Ross",95,7
"Villarreal and Sons",95,7
Johnson-Reeves,95,7
"Hall, Gomez and Diaz",95,7
"Johnson, Graham and Wagner",95,7
"Bryan, Hall and Wise",95,7
"Huang, Clark and Foster",95,7
"Miles, Hill and Bell",94,7
"Miles, Hill and Bell",94,7
"Warren and Sons",94,7
Davis-Quinn,94,7
"Myers, Mckay and Noble",94,7
Baker-Sanders,94,7
"Walker, Marsh and Moore",94,7
"Thomas, Atkinson and Lopez",94,7
"Howard Inc",94,7
"Lewis LLC",94,7
Williams-Stewart,94,7
Reeves-Blair,94,7
"Stewart and Sons",94,7
"Clayton Inc",94,7
"Lee, Juarez and Mason",94,7
"Martin Group",94,7
"Brooks, Mason and Colon",93,7
"Perez Inc",93,7
"Rogers and Sons",93,7
"Gonzalez Ltd",93,7
"Hill, Perkins and Fleming",93,7
"Bryant, Douglas and Murphy",93,7
"Lewis LLC",93,7
"Freeman Group",93,7
"Rodriguez, Gibson and Thomas",93,7
"Williams, Wilson and Ellis",93,7
"Evans LLC",92,7
Wagner-Acevedo,92,7
Saunders-Cooper,92,7
"Gutierrez, Dunn and Mitchell",92,7
Davis-Quinn,92,7
Rodriguez-Gonzales,92,7
Murray-Harris,92,7
"Campos Inc",92,7
"Spencer and Sons",92,7
Ross-Foster,92,7
"Norman and Sons",92,7
"Martin Ltd",92,7
Johnson-Reeves,92,7
"Hurst Inc",92,7
"Smith, Wise and Nelson",92,7
"Gallagher PLC",92,7
"Walker Inc",92,7
"Martin Group",92,7
Ford-Johnson,91,7
Ford-Johnson,91,7
"Parks, Garcia and Walker",91,7
Davis-Wood,91,7
Stevens-Smith,91,7
Hall-Burns,91,7
"Atkinson, Fuller and Ingram",91,7
"Ramsey, Anderson and Walsh",91,7
"Velasquez PLC",91,7
"Campos Inc",91,7
"Fuller Group",91,7
"Smith Inc",91,7
"Costa LLC",91,7
"Spencer and Sons",91,7
"Davis Ltd",91,7
Johnson-Mckinney,91,7
"Mueller Group",91,7
"Fletcher Ltd",91,7
"Hurst Inc",91,7
Byrd-Rodriguez,91,7
"Francis, Willis and Davis",91,7
"Spence Inc",91,7
Obrien-Wood,91,7
"Rosario, Holden and Ross",91,7
Davis-Wood,90,7
"Guerrero, Roberts and Taylor",90,7
"Cooper Group",90,7
"Taylor Inc",90,7
"Jackson Inc",90,7
"Myers, Mckay and Noble",90,7
"Stevens PLC",90,7
Johnson-Mckinney,90,7
"Norton Group",90,7
"Jimenez, Wolfe and Mcfarland",90,7
"Stewart and Sons",90,7
Roberts-Brooks,90,7
"Johnson, Graham and Wagner",90,7
"Freeman Group",90,7
"Ryan, Williams and Clay",90,7
"Spence Inc",90,7
Ryan-Adams,90,7
"Mays Ltd",89,7
"Perez Inc",89,7
Alvarez-Miller,89,7
Coleman-Hayes,89,7
"Best, Willis and Brandt",89,7
"Martinez Ltd",89,7
"Underwood PLC",89,7
"Villanueva, Miller and Lopez",89,7
Nielsen-Peterson,89,7
"Tate Inc",89,7
"Ward Group",89,7
Sims-Arnold,89,7
"Werner Group",89,7
Craig-Foster,89,7
Peters-Brown,89,7
"Chang, West and Fields",89,7
"Reyes, Elliott and Brown",89,7
"Robertson Ltd",89,7
Patton-Morrison,89,7
"Ryan, Williams and Clay",89,7
Lee-Martinez,89,7
"Ryan and Sons",88,7
"Clarke, Herrera and Logan",88,7
Owen-Kim,88,7
"Gonzalez Ltd",88,7
"Eaton Ltd",88,7
Goodwin-Bishop,88,7
"Lynn PLC",88,7
"Bryant, Douglas and Murphy",88,7
Holmes-Barrett,88,7
"Tate Inc",88,7
"Hogan Group",88,7
Roman-Foster,88,7
"Hendricks Group",88,7
"Smith Inc",88,7
"Morris, Berger and Little",88,7
"Rogers, Peters and Brewer",88,7
"Nguyen Ltd",88,7
"Burton, Chase and Garcia",88,7
"Moore and Sons",88,7
Roberts-Brooks,88,7
Lee-Martinez,88,7
"Herrera Ltd",88,7
Scott-Jensen,87,7
"Hodge, Mclaughlin and Jones",87,7
"Tapia, Harris and Mccann",87,7
Mckee-Jensen,87,7
Bennett-Benson,87,7
Kelley-Lamb,87,7
"George, Callahan and Ochoa",87,7
"Hall Inc",87,7
"Fuller Group",87,7
"Petty, Smith and Smith",87,7
"Thomas Ltd",87,7
"Wheeler PLC",87,7
