property_name,lease_start,lease_start_year,cumulative_lease_count
Adams-Knight,2020-03-23,2020,1
Adams-Knight,2021-06-21,2021,2
Adams-Knight,2021-12-19,2021,3
Adams-Knight,2023-06-03,2023,4
Adams-Whitehead,2021-05-12,2021,1
Adams-Whitehead,2022-05-06,2022,2
Adams-Whitehead,2022-12-30,2022,3
Adams-Whitehead,2023-10-14,2023,4
Adams-Whitehead,2024-04-23,2024,5
"Adams, May and Oneill",2021-10-03,2021,1
"Adams, May and Oneill",2023-10-07,2023,2
"Adkins and Sons",2020-03-26,2020,1
"Adkins and Sons",2022-01-17,2022,2
"Adkins and Sons",2022-04-01,2022,3
"Adkins and Sons",2024-08-30,2024,4
"Adkins LLC",2020-07-19,2020,1
"Adkins LLC",2020-08-13,2020,2
"Adkins LLC",2020-09-15,2020,3
"Adkins LLC",2021-02-03,2021,4
"Adkins LLC",2021-07-07,2021,5
"Adkins LLC",2024-02-03,2024,6
Aguilar-Thompson,2022-12-17,2022,1
Aguilar-Thompson,2023-02-08,2023,2
Aguilar-Thompson,2023-12-21,2023,3
Aguilar-Thompson,2024-01-20,2024,4
"Alexander, Gordon and Cox",2022-10-12,2022,1
"Alexander, Gordon and Cox",2024-09-29,2024,2
"Allen LLC",2022-11-30,2022,1
"Allen Ltd",2023-04-17,2023,1
"Allen Ltd",2024-02-01,2024,2
Allen-Brown,2019-11-14,2019,1
Allen-Brown,2022-02-22,2022,2
Alvarez-Miller,2021-12-12,2021,1
Alvarez-Wilson,2022-07-27,2022,1
Alvarez-Wilson,2022-09-27,2022,2
Alvarez-Wilson,2023-12-10,2023,3
Alvarez-Wilson,2024-03-03,2024,4
"Andersen, Montgomery and White",2019-12-26,2019,1
"Andersen, Montgomery and White",2021-04-12,2021,2
"Andersen, Montgomery and White",2021-07-26,2021,3
"Andersen, Montgomery and White",2021-10-02,2021,4
"Andersen, Montgomery and White",2023-03-24,2023,5
"Anderson Group",2022-04-21,2022,1
"Anderson Group",2023-08-03,2023,2
"Anderson Inc",2021-01-28,2021,1
