property_name,property_type,property_rent_revenue,rent_rev_as_percent_of_total,rent_rev_as_percent_of_propType_total
Cooper-Michael,Industrial,132817,0.26,0.98
"Yates Ltd",Industrial,136625,0.27,1.01
Wagner-Griffin,Industrial,209709,0.41,1.55
"Hall Inc",Industrial,55517,0.11,0.41
"Thomas, Atkinson and Lopez",Industrial,240360,0.47,1.77
"Young, Garrison and Ward",Industrial,89944,0.17,0.66
Yoder-Rowe,Industrial,88308,0.17,0.65
Sanchez-Hunter,Industrial,161289,0.31,1.19
"Hernandez, Jackson and Nguyen",Industrial,98635,0.19,0.73
"Durham, Peterson and Rosario",Industrial,94028,0.18,0.69
"Thomas Ltd",Industrial,73728,0.14,0.54
"Lewis Group",Industrial,41526,0.08,0.31
"Palmer and Sons",Industrial,24760,0.05,0.18
"Townsend LLC",Industrial,78653,0.15,0.58
"Rogers and Sons",Industrial,237036,0.46,1.75
"Porter LLC",Industrial,132072,0.26,0.97
Clark-Riggs,Industrial,24571,0.05,0.18
"Johnson, Weaver and Torres",Industrial,164829,0.32,1.22
Saunders-Le,Industrial,84061,0.16,0.62
"Rodriguez Inc",Industrial,126345,0.25,0.93
"Stevens PLC",Industrial,127395,0.25,0.94
"Martin PLC",Industrial,49275,0.10,0.36
"Nguyen, Lewis and Smith",Industrial,67630,0.13,0.50
"Landry LLC",Industrial,46932,0.09,0.35
"Norton Group",Industrial,163875,0.32,1.21
Martin-Jones,Industrial,158706,0.31,1.17
Goodwin-Bishop,Industrial,97704,0.19,0.72
Peters-Brown,Industrial,170547,0.33,1.26
"Watkins Ltd",Industrial,74418,0.14,0.55
"Waller PLC",Industrial,127910,0.25,0.94
"Carpenter, Yang and Barton",Industrial,87409,0.17,0.64
Walters-Jones,Industrial,128948,0.25,0.95
"Fletcher Ltd",Industrial,114268,0.22,0.84
"Jones Inc",Industrial,48085,0.09,0.35
"Strong, Hale and Key",Industrial,193408,0.38,1.43
"Herrera Ltd",Industrial,87166,0.17,0.64
Weaver-Rodriguez,Industrial,68605,0.13,0.51
"Mathis and Sons",Industrial,15044,0.03,0.11
"Anderson, Harrison and Burton",Industrial,154331,0.30,1.14
Larson-Morris,Industrial,253530,0.49,1.87
"Gilbert and Sons",Industrial,83733,0.16,0.62
"Lee LLC",Industrial,143697,0.28,1.06
"Cunningham Inc",Industrial,127292,0.25,0.94
"Carpenter, Washington and Ramirez",Industrial,100463,0.20,0.74
"Johnson and Sons",Industrial,84747,0.16,0.63
"Alexander, Gordon and Cox",Industrial,57623,0.11,0.43
"Cooper Group",Industrial,121760,0.24,0.90
"Morris and Sons",Industrial,165905,0.32,1.22
Brown-Smith,Industrial,158048,0.31,1.17
"Watson Group",Industrial,201422,0.39,1.49
Carroll-Mason,Industrial,39397,0.08,0.29
"Hill, Gonzales and Hansen",Industrial,121427,0.24,0.90
"Ryan, Williams and Clay",Industrial,148984,0.29,1.10
"Gallegos and Sons",Industrial,110006,0.21,0.81
Coleman-Hayes,Industrial,135140,0.26,1.00
"Jackson Inc",Industrial,106540,0.21,0.79
Martinez-Phillips,Industrial,98189,0.19,0.72
Montgomery-Douglas,Industrial,170269,0.33,1.26
"Farrell, Schultz and Manning",Industrial,26909,0.05,0.20
"Warren and Sons",Industrial,63987,0.12,0.47
"Branch and Sons",Industrial,125435,0.24,0.93
"Perkins, Kramer and Gray",Industrial,95507,0.19,0.70
Gregory-Pena,Industrial,147182,0.29,1.09
Garrett-Page,Industrial,104288,0.20,0.77
"Jackson, Mckay and Sanchez",Industrial,63500,0.12,0.47
"Frey and Sons",Industrial,125933,0.24,0.93
Smith-Allison,Industrial,145604,0.28,1.07
Edwards-Stewart,Industrial,62830,0.12,0.46
Roman-Foster,Industrial,112703,0.22,0.83
"Chan, Davenport and Mccoy",Industrial,92328,0.18,0.68
"Tate Inc",Industrial,266540,0.52,1.97
"Miles, Hill and Bell",Industrial,103223,0.20,0.76
"Atkinson, Fuller and Ingram",Industrial,76441,0.15,0.56
"Fuller Group",Industrial,235379,0.46,1.74
"Estrada PLC",Industrial,46273,0.09,0.34
"Kelly and Sons",Industrial,106508,0.21,0.79
Ross-Foster,Industrial,127319,0.25,0.94
"Anderson Group",Industrial,44763,0.09,0.33
"Austin, Miller and Thomas",Industrial,14896,0.03,0.11
Williams-Stewart,Industrial,148489,0.29,1.10
"Meyer Group",Industrial,46904,0.09,0.35
Ibarra-Booker,Industrial,33485,0.07,0.25
"Martinez Ltd",Industrial,66498,0.13,0.49
Cain-Alexander,Industrial,19294,0.04,0.14
"Carter Ltd",Industrial,107310,0.21,0.79
Brown-Riley,Industrial,77226,0.15,0.57
Edwards-Miller,Industrial,39070,0.08,0.29
Warren-Mccormick,Industrial,44098,0.09,0.33
"Smith Inc",Industrial,63149,0.12,0.47
Hernandez-Sanders,Industrial,79956,0.16,0.59
"Faulkner LLC",Industrial,67520,0.13,0.50
"Ball and Sons",Industrial,98338,0.19,0.73
"Bryan, Hall and Wise",Industrial,162625,0.32,1.20
Saunders-Cooper,Industrial,133497,0.26,0.98
"Drake, Moore and Stevenson",Industrial,23115,0.04,0.17
Hawkins-Scott,Industrial,81814,0.16,0.60
"Williams LLC",Industrial,5224,0.01,0.04
"Gentry Inc",Industrial,120138,0.23,0.89
Aguilar-Thompson,Industrial,99590,0.19,0.73
"Huang, Clark and Foster",Industrial,71735,0.14,0.53
"Arnold, Lam and Case",Industrial,36426,0.07,0.27
"Best, Brown and Anderson",Industrial,74854,0.15,0.55
Chandler-Campbell,Industrial,2284,0.00,0.02
"Bennett, Hess and Hernandez",Industrial,50196,0.10,0.37
"Miller Ltd",Industrial,144107,0.28,1.06
"Myers LLC",Industrial,45799,0.09,0.34
"Ortega Inc",Industrial,139265,0.27,1.03
Ramirez-Rodriguez,Industrial,58374,0.11,0.43
"Snyder, Johnson and Clark",Industrial,125904,0.24,0.93
"Perez Group",Industrial,56619,0.11,0.42
"King PLC",Industrial,5441,0.01,0.04
"Flores Ltd",Industrial,3195,0.01,0.02
"Oliver Ltd",Industrial,104304,0.20,0.77
"Matthews, Rogers and Tran",Industrial,116758,0.23,0.86
"Conway Inc",Industrial,62121,0.12,0.46
Miller-Rivera,Industrial,21108,0.04,0.16
White-Robinson,Industrial,92446,0.18,0.68
Martinez-Reynolds,Industrial,22062,0.04,0.16
"Werner Group",Industrial,46262,0.09,0.34
"Chavez, Briggs and Perkins",Industrial,60265,0.12,0.44
"Spence Inc",Industrial,163405,0.32,1.21
"Perez Inc",Industrial,146302,0.28,1.08
Huber-Johnson,Industrial,78597,0.15,0.58
"Campos, Burgess and Webb",Industrial,64486,0.13,0.48
"Allen Ltd",Industrial,79081,0.15,0.58
"Mays Ltd",Industrial,75290,0.15,0.56
Walker-Boyle,Industrial,46901,0.09,0.35
"Lloyd LLC",Industrial,45962,0.09,0.34
Mack-Doyle,Industrial,45681,0.09,0.34
Obrien-Wood,Industrial,163562,0.32,1.21
"Parks, Garcia and Walker",Industrial,114647,0.22,0.85
"Ward Group",Industrial,26158,0.05,0.19
Buck-Anderson,Industrial,105972,0.21,0.78
"Riddle LLC",Industrial,68033,0.13,0.50
Harvey-Cunningham,Industrial,87175,0.17,0.64
Blevins-Nguyen,Industrial,4648,0.01,0.03
"Miller Inc",Industrial,19989,0.04,0.15
"Lopez, Grimes and Roberts",Industrial,177956,0.35,1.31
"Horton and Sons",Industrial,128812,0.25,0.95
Molina-Thompson,Industrial,162613,0.32,1.20
"Cannon Group",Office,188593,0.37,1.50
"Lewis Inc",Office,105825,0.21,0.84
"Brewer, Abbott and Bolton",Office,115965,0.23,0.92
Waters-Byrd,Office,153540,0.30,1.22
Griffin-Miller,Office,78915,0.15,0.63
Yoder-Davis,Office,26794,0.05,0.21
Baker-Sanders,Office,90753,0.18,0.72
"Williams PLC",Office,34452,0.07,0.27
"Lee, Juarez and Mason",Office,174384,0.34,1.39
"Peters Inc",Office,47572,0.09,0.38
Kelley-Lamb,Office,205669,0.40,1.64
Davis-Wood,Office,141843,0.28,1.13
"Davis Ltd",Office,82495,0.16,0.66
"Stewart and Sons",Office,49347,0.10,0.39
"Jordan Ltd",Office,15749,0.03,0.13
"Reyes, Elliott and Brown",Office,34886,0.07,0.28
Weber-Gibson,Office,70669,0.14,0.56
"Herrera PLC",Office,51497,0.10,0.41
Cox-Hardin,Office,36028,0.07,0.29
Nelson-Gonzalez,Office,115449,0.22,0.92
Stevens-Smith,Office,257753,0.50,2.05
"Henderson, Townsend and Gordon",Office,92134,0.18,0.73
"Ramsey, Anderson and Walsh",Office,111667,0.22,0.89
"Gutierrez, Dunn and Mitchell",Office,90561,0.18,0.72
Ward-Brown,Office,71952,0.14,0.57
"Davies, Mccoy and Cox",Office,163760,0.32,1.30
"Johnson, Graham and Wagner",Office,89003,0.17,0.71
"Bonilla, White and Hall",Office,36110,0.07,0.29
"Gregory, Hensley and Ross",Office,110029,0.21,0.88
"Krause Inc",Office,130091,0.25,1.04
"Price PLC",Office,125252,0.24,1.00
Nielsen-Peterson,Office,73860,0.14,0.59
"Ramos, Brown and Edwards",Office,130448,0.25,1.04
Turner-Ortiz,Office,7254,0.01,0.06
"Smith LLC",Office,70153,0.14,0.56
"Adkins LLC",Office,141494,0.28,1.13
"Reed Ltd",Office,155927,0.30,1.24
Turner-Carter,Office,74110,0.14,0.59
"Mueller Group",Office,74275,0.14,0.59
"Jenkins, Jackson and Lopez",Office,201367,0.39,1.60
"Mcpherson, Wilson and Miles",Office,73234,0.14,0.58
Jones-Atkins,Office,86485,0.17,0.69
"Tapia, Harris and Mccann",Office,116823,0.23,0.93
"Hill, Perkins and Fleming",Office,173136,0.34,1.38
