property_name,lease_start,rent_change_from_prev_lease,rent_change
Adams-Knight,2020-03-23,N/A,"No previous month record"
Adams-Knight,2021-06-21,7129,rent_increased
Adams-Knight,2021-12-19,7982,rent_increased
Adams-Knight,2023-06-03,10196,rent_increased
Adams-Whitehead,2021-05-12,N/A,"No previous month record"
Adams-Whitehead,2022-05-06,419,rent_increased
Adams-Whitehead,2022-12-30,-543,"rent decreased"
Adams-Whitehead,2023-10-14,-41639,"rent decreased"
Adams-Whitehead,2024-04-23,44015,rent_increased
"Adams, May and Oneill",2021-10-03,N/A,"No previous month record"
"Adams, May and Oneill",2023-10-07,6328,rent_increased
"Adkins and Sons",2020-03-26,N/A,"No previous month record"
"Adkins and Sons",2022-01-17,9233,rent_increased
"Adkins and Sons",2022-04-01,-12634,"rent decreased"
"Adkins and Sons",2024-08-30,21905,rent_increased
"Adkins LLC",2020-07-19,N/A,"No previous month record"
"Adkins LLC",2020-08-13,-549,"rent decreased"
"Adkins LLC",2020-09-15,2770,rent_increased
"Adkins LLC",2021-02-03,-4385,"rent decreased"
"Adkins LLC",2021-07-07,-15441,"rent decreased"
"Adkins LLC",2024-02-03,6592,rent_increased
Aguilar-Thompson,2022-12-17,N/A,"No previous month record"
Aguilar-Thompson,2023-02-08,-7102,"rent decreased"
Aguilar-Thompson,2023-12-21,-17727,"rent decreased"
Aguilar-Thompson,2024-01-20,5526,rent_increased
"Alexander, Gordon and Cox",2022-10-12,N/A,"No previous month record"
"Alexander, Gordon and Cox",2024-09-29,33777,rent_increased
"Allen LLC",2022-11-30,N/A,"No previous month record"
"Allen Ltd",2023-04-17,N/A,"No previous month record"
"Allen Ltd",2024-02-01,-14121,"rent decreased"
Allen-Brown,2019-11-14,N/A,"No previous month record"
Allen-Brown,2022-02-22,8545,rent_increased
Alvarez-Miller,2021-12-12,N/A,"No previous month record"
Alvarez-Wilson,2022-07-27,N/A,"No previous month record"
Alvarez-Wilson,2022-09-27,-3875,"rent decreased"
Alvarez-Wilson,2023-12-10,9847,rent_increased
Alvarez-Wilson,2024-03-03,-242,"rent decreased"
"Andersen, Montgomery and White",2019-12-26,N/A,"No previous month record"
"Andersen, Montgomery and White",2021-04-12,-1008,"rent decreased"
"Andersen, Montgomery and White",2021-07-26,34447,rent_increased
"Andersen, Montgomery and White",2021-10-02,-20009,"rent decreased"
"Andersen, Montgomery and White",2023-03-24,-8016,"rent decreased"
"Anderson Group",2022-04-21,N/A,"No previous month record"
"Anderson Group",2023-08-03,-33393,"rent decreased"
"Anderson Inc",2021-01-28,N/A,"No previous month record"
"Anderson Inc",2022-01-26,-40365,"rent decreased"
"Anderson Inc",2022-04-08,5093,rent_increased
"Anderson Inc",2022-06-23,30063,rent_increased
"Anderson LLC",2020-04-17,N/A,"No previous month record"
"Anderson LLC",2022-05-29,18266,rent_increased
"Anderson LLC",2023-07-26,-15340,"rent decreased"
"Anderson, Anthony and Lewis",2019-11-24,N/A,"No previous month record"
"Anderson, Anthony and Lewis",2020-03-13,-23875,"rent decreased"
"Anderson, Anthony and Lewis",2020-09-01,16867,rent_increased
"Anderson, Anthony and Lewis",2021-06-18,-28763,"rent decreased"
"Anderson, Harrison and Burton",2021-08-11,N/A,"No previous month record"
"Anderson, Harrison and Burton",2021-09-07,36812,rent_increased
"Anderson, Harrison and Burton",2021-10-06,531,rent_increased
"Anderson, Harrison and Burton",2022-12-14,-17369,"rent decreased"
"Anderson, Harrison and Burton",2023-03-07,1131,rent_increased
"Anderson, Harrison and Burton",2023-06-25,1456,rent_increased
"Anderson, Patel and Stewart",2021-01-31,N/A,"No previous month record"
"Anderson, Patel and Stewart",2021-05-20,-9629,"rent decreased"
"Anderson, Patel and Stewart",2021-12-05,25024,rent_increased
"Anderson, Patel and Stewart",2023-04-22,-23094,"rent decreased"
"Anderson, Patel and Stewart",2023-08-31,11047,rent_increased
"Anderson, Patel and Stewart",2023-11-25,20687,rent_increased
"Anderson, Patel and Stewart",2023-12-14,-14124,"rent decreased"
"Andrews, Smith and Mason",2020-01-05,N/A,"No previous month record"
"Andrews, Smith and Mason",2021-01-13,-35061,"rent decreased"
"Andrews, Smith and Mason",2022-05-29,19957,rent_increased
"Andrews, Smith and Mason",2023-08-06,-4694,"rent decreased"
"Arnold, Lam and Case",2019-12-17,N/A,"No previous month record"
"Arnold, Lam and Case",2021-02-10,-7137,"rent decreased"
"Arnold, Lam and Case",2021-07-28,-9468,"rent decreased"
"Atkinson, Fuller and Ingram",2020-03-22,N/A,"No previous month record"
"Atkinson, Fuller and Ingram",2024-02-12,-15145,"rent decreased"
"Atkinson, Fuller and Ingram",2024-07-06,-28167,"rent decreased"
"Austin, Cross and Mclean",2020-01-16,N/A,"No previous month record"
"Austin, Cross and Mclean",2020-07-31,-30039,"rent decreased"
"Austin, Cross and Mclean",2023-02-10,-4389,"rent decreased"
"Austin, Cross and Mclean",2023-07-23,27797,rent_increased
"Austin, Miller and Thomas",2020-04-28,N/A,"No previous month record"
"Austin, Miller and Thomas",2021-10-03,-1102,"rent decreased"
Baker-Sanders,2019-12-29,N/A,"No previous month record"
Baker-Sanders,2021-09-01,5622,rent_increased
Baker-Sanders,2023-02-19,-18255,"rent decreased"
Baker-Sanders,2023-12-13,-9101,"rent decreased"
Baker-Sanders,2024-09-02,12807,rent_increased
