property_name,pct_cost,maintenance_cost_per_property,cost_ranking_per_property
"Jackson, Mckay and Sanchez",0.0064,49335,1
"Hogan Group",0.0060,46032,2
"Riddle LLC",0.0048,36486,3
"Martin PLC",0.0047,36077,4
"Hall, Gomez and Diaz",0.0047,36036,4
"Ramirez, Ramirez and Jackson",0.0047,35932,4
Roman-Foster,0.0046,35325,5
Reeves-Blair,0.0046,35184,5
"Rogers and Sons",0.0045,34677,6
"Henderson, Townsend and Gordon",0.0045,34412,6
"Smith Inc",0.0044,33406,7
"Ortega Inc",0.0044,33939,7
"Harris LLC",0.0043,33278,8
"Martinez Ltd",0.0042,32014,9
"Price PLC",0.0041,31167,10
Stewart-Rojas,0.0041,31389,10
"Boyd, Thompson and Rodriguez",0.0040,30340,11
"Bryant, Douglas and Murphy",0.0040,30415,11
Moon-Ball,0.0040,30608,11
Huber-Johnson,0.0040,30750,11
"Norman and Sons",0.0040,30466,11
"Swanson, Benson and Campbell",0.0040,30558,11
Lopez-Boyd,0.0039,29634,12
"Oliver Ltd",0.0039,30262,12
Craig-Foster,0.0039,30143,12
"Vasquez, Willis and Little",0.0039,29599,12
Alvarez-Wilson,0.0038,29376,13
"Cannon Inc",0.0037,28014,14
"Sherman, Odonnell and Kelly",0.0037,28475,14
"Rivas LLC",0.0037,28398,14
Williams-Stewart,0.0037,28113,14
"Anderson Inc",0.0037,28157,14
Allen-Brown,0.0037,28421,14
Gardner-Young,0.0037,27995,14
"Myers LLC",0.0036,27442,15
"Perez Group",0.0036,27903,15
"Adkins LLC",0.0036,27665,15
"Martinez, Cox and Malone",0.0036,27303,15
"Wheeler PLC",0.0036,27682,15
Johnson-Mckinney,0.0036,27309,15
"Bryan, Hall and Wise",0.0036,27750,15
"Spence Inc",0.0036,27381,15
"Meyer Group",0.0035,26529,16
"Watson LLC",0.0035,27014,16
"Rodriguez Group",0.0035,27066,16
"Spencer and Sons",0.0035,26814,16
"Lewis Group",0.0035,26536,16
"Ryan, Williams and Clay",0.0035,26850,16
"Rodriguez Inc",0.0034,26032,17
Goodwin-Bishop,0.0034,25879,17
"Taylor Inc",0.0034,25876,17
Garrett-Edwards,0.0034,25839,17
"Walton, Freeman and Cruz",0.0034,25777,17
"Best, Brown and Anderson",0.0034,25728,17
"Garcia and Sons",0.0033,25413,18
"Estes and Sons",0.0033,25416,18
"Garcia Inc",0.0033,25209,18
"Hendricks Group",0.0033,25601,18
"Hancock, Pearson and Murphy",0.0033,25227,18
Roberts-Brooks,0.0033,25387,18
"Spencer, Zamora and Horton",0.0032,24668,19
Cain-Alexander,0.0032,24430,19
"Hill, Gonzales and Hansen",0.0032,24432,19
"Jones, Nelson and Jones",0.0032,24442,19
"Gilbert and Sons",0.0032,24767,19
Wagner-Griffin,0.0032,24555,19
"Gallagher PLC",0.0032,24539,19
"Willis Ltd",0.0032,24737,19
"Williams, Wilson and Ellis",0.0032,24333,19
"Bennett, Hess and Hernandez",0.0031,24145,20
"Drake, Moore and Stevenson",0.0031,24145,20
"Best, Willis and Brandt",0.0031,23679,20
"Soto, Higgins and Lopez",0.0031,23510,20
"Roberts, Brown and Wheeler",0.0031,23589,20
"Howard Inc",0.0031,23549,20
"Vasquez, Blackwell and Pierce",0.0031,23927,20
"Brewer, Abbott and Bolton",0.0031,23650,20
"Nelson LLC",0.0031,23997,20
"House PLC",0.0030,22753,21
"Cox PLC",0.0030,23269,21
"Smith LLC",0.0030,23068,21
Spears-Price,0.0030,22813,21
"Myers, Mckay and Noble",0.0030,22866,21
"Thompson, Silva and Odom",0.0030,22818,21
"Allen LLC",0.0030,22861,21
Villegas-Simpson,0.0030,22725,21
"Austin, Cross and Mclean",0.0030,22919,21
Nelson-Phillips,0.0030,22857,21
"Adkins and Sons",0.0029,22192,22
"Mccullough, Stewart and Mora",0.0029,22414,22
Miller-Rivera,0.0029,22214,22
Rodriguez-Gonzales,0.0029,21931,22
Ward-Brown,0.0029,22009,22
"Petty, Smith and Smith",0.0029,22025,22
"Parrish Inc",0.0029,22575,22
Solomon-Bailey,0.0029,22222,22
White-Flores,0.0029,21859,22
"Jenkins, Jackson and Lopez",0.0029,21889,22
"Herrera Group",0.0029,22103,22
"Palmer and Sons",0.0028,21308,23
"Elliott Group",0.0028,21421,23
"White LLC",0.0028,21227,23
Rodriguez-Morrow,0.0028,21145,23
Molina-Thompson,0.0028,21285,23
"Mann Group",0.0028,21146,23
Cline-Hill,0.0028,21714,23
"Wood, Proctor and Johnson",0.0028,21183,23
"Brooks, Mason and Colon",0.0027,20485,24
Martin-Wood,0.0027,20826,24
"Jones Inc",0.0027,20915,24
Turner-Carter,0.0027,20786,24
"George, Reed and Frazier",0.0027,20436,24
Baker-Sanders,0.0027,20953,24
"Anderson LLC",0.0027,20400,24
"Mckinney LLC",0.0027,20577,24
Adams-Whitehead,0.0027,20362,24
"Mason, Roberts and Smith",0.0027,20599,24
"Arnold, Lam and Case",0.0027,20581,24
"Burton, Chase and Garcia",0.0027,20678,24
"Christian, Murray and Little",0.0027,20802,24
Nelson-Gonzalez,0.0027,20354,24
"Beltran PLC",0.0027,20521,24
Montgomery-Douglas,0.0026,20057,25
"Mckinney, White and Mason",0.0026,19845,25
"Perez Inc",0.0026,19945,25
"Ellis LLC",0.0026,19880,25
"Hill, Perkins and Fleming",0.0026,19793,25
Kelley-Lamb,0.0026,19579,25
Aguilar-Thompson,0.0026,19703,25
"Gutierrez, Dunn and Mitchell",0.0026,19784,25
Harvey-Cunningham,0.0026,19659,25
Frederick-Wall,0.0026,19817,25
Campbell-Rodriguez,0.0026,20311,25
"Lee, Johnson and Zimmerman",0.0026,19951,25
Nicholson-Woodward,0.0026,19614,25
"Nguyen, Lewis and Smith",0.0026,20223,25
"Choi Inc",0.0026,19793,25
"Huang, Clark and Foster",0.0026,20163,25
"Bonilla, White and Hall",0.0026,19903,25
"Williams, Newman and Williamson",0.0026,19714,25
"Johnson, Weaver and Torres",0.0026,19842,25
"Jordan Ltd",0.0025,19339,26
Harris-Mullins,0.0025,18904,26
Martinez-Phillips,0.0025,19499,26
"Villanueva, Miller and Lopez",0.0025,19264,26
"Strong, Hale and Key",0.0025,19073,26
"Fuller Group",0.0025,19188,26
"Jackson Group",0.0025,18917,26
"Yates Ltd",0.0025,19025,26
"Garcia Ltd",0.0025,19114,26
Larson-Morris,0.0025,19315,26
"Mathis and Sons",0.0025,19342,26
Edwards-Stewart,0.0025,19391,26
"Martinez Inc",0.0025,19322,26
"Conway Inc",0.0025,19307,26
"Lewis, Douglas and Richard",0.0025,19344,26
"Chavez, Briggs and Perkins",0.0024,18606,27
"Rangel and Sons",0.0024,18585,27
"Guerrero, Roberts and Taylor",0.0024,18192,27
"Krause Inc",0.0024,18746,27
