log_id,property_id,maintenance_type,maintenance_date,cost
ML00001,P0229,Electrical,2024-01-21,392
ML00002,P0445,Electrical,2024-08-05,3083
ML00003,P0236,Cleaning,2023-03-18,1000
ML00004,P0377,Electrical,2023-09-25,746
ML00005,P0188,Cleaning,2024-08-27,229
ML00006,P0384,Cleaning,2023-11-12,3788
ML00007,P0122,Plumbing,2023-06-01,1961
ML00008,P0164,Electrical,2024-04-02,790
ML00009,P0379,Structural,2023-01-22,1473
ML00010,P0301,Structural,2024-08-18,4629
ML00011,P0467,Cleaning,2023-08-07,4687
ML00012,P0314,Structural,2024-02-19,3070
ML00013,P0175,Plumbing,2024-07-28,3412
ML00014,P0135,Plumbing,2022-11-03,3320
ML00015,P0265,Cleaning,2023-05-08,1059
ML00016,P0222,Plumbing,2024-07-16,4769
ML00017,P0064,Structural,2024-03-08,3762
ML00018,P0405,Structural,2024-10-03,2052
ML00019,P0316,Plumbing,2023-11-26,608
ML00020,P0316,Plumbing,2024-08-25,2409
ML00021,P0412,Structural,2023-12-28,4232
ML00022,P0156,Cleaning,2024-09-29,4116
ML00023,P0407,Structural,2024-08-24,1716
ML00024,P0133,Structural,2023-05-21,2755
ML00025,P0230,Cleaning,2022-12-21,2949
ML00026,P0242,Structural,2023-03-21,3507
ML00027,P0248,Structural,2023-06-22,3072
ML00028,P0381,Structural,2023-11-25,1928
ML00029,P0393,Plumbing,2024-10-23,1060
ML00030,P0027,Structural,2023-10-11,4508
ML00031,P0496,Electrical,2023-10-04,481
ML00032,P0035,Structural,2024-10-16,3768
ML00033,P0308,Structural,2024-06-07,3327
ML00034,P0386,Plumbing,2024-04-15,4275
ML00035,P0163,Cleaning,2023-10-05,4054
ML00036,P0193,Structural,2023-05-26,2970
ML00037,P0088,Structural,2023-09-22,3936
ML00038,P0235,Electrical,2024-02-07,4986
ML00039,P0091,Plumbing,2023-07-08,4249
ML00040,P0097,Electrical,2023-09-19,2675
ML00041,P0106,Structural,2024-01-05,4239
ML00042,P0122,Plumbing,2024-07-15,598
ML00043,P0311,Electrical,2023-05-10,3237
ML00044,P0200,Structural,2022-12-26,877
ML00045,P0362,Plumbing,2024-03-26,4424
ML00046,P0245,Electrical,2023-07-07,1291
ML00047,P0499,Cleaning,2024-09-22,4195
ML00048,P0155,Plumbing,2023-07-21,1070
ML00049,P0097,Cleaning,2023-01-08,3962
ML00050,P0333,Plumbing,2023-11-08,3005
ML00051,P0090,Structural,2023-06-28,4755
ML00052,P0125,Electrical,2023-12-12,1468
ML00053,P0343,Electrical,2024-05-15,2654
ML00054,P0228,Plumbing,2023-12-27,2710
ML00055,P0231,Plumbing,2023-05-17,4084
ML00056,P0440,Electrical,2024-03-01,2809
ML00057,P0391,Plumbing,2024-07-01,2759
ML00058,P0208,Structural,2023-01-18,2649
ML00059,P0294,Plumbing,2024-10-24,2560
ML00060,P0492,Electrical,2024-01-06,787
ML00061,P0305,Electrical,2023-03-10,303
ML00062,P0140,Electrical,2023-08-01,1230
ML00063,P0109,Structural,2023-09-08,4305
ML00064,P0103,Electrical,2024-01-16,1756
ML00065,P0215,Cleaning,2024-02-07,1705
ML00066,P0093,Plumbing,2023-01-18,120
ML00067,P0223,Structural,2023-03-23,4344
ML00068,P0088,Cleaning,2023-12-25,1703
ML00069,P0357,Plumbing,2023-04-24,2357
ML00070,P0413,Electrical,2023-07-31,1609
ML00071,P0093,Electrical,2024-08-18,3968
ML00072,P0493,Plumbing,2023-04-29,2968
