property_name,lease_start,rent_amount,cumulative_rent
Adams-Knight,2020-03-23,21999,21999
Adams-Knight,2021-06-21,29128,51127
Adams-Knight,2021-12-19,37110,88237
Adams-Knight,2023-06-03,47306,135543
Adams-Whitehead,2021-05-12,46935,46935
Adams-Whitehead,2022-05-06,47354,94289
Adams-Whitehead,2022-12-30,46811,141100
Adams-Whitehead,2023-10-14,5172,146272
Adams-Whitehead,2024-04-23,49187,195459
"Adams, May and Oneill",2021-10-03,40928,40928
"Adams, May and Oneill",2023-10-07,47256,88184
"Adkins and Sons",2020-03-26,29747,29747
"Adkins and Sons",2022-01-17,38980,68727
"Adkins and Sons",2022-04-01,26346,95073
"Adkins and Sons",2024-08-30,48251,143324
"Adkins LLC",2020-07-19,28434,28434
"Adkins LLC",2020-08-13,27885,56319
"Adkins LLC",2020-09-15,30655,86974
"Adkins LLC",2021-02-03,26270,113244
"Adkins LLC",2021-07-07,10829,124073
"Adkins LLC",2024-02-03,17421,141494
Aguilar-Thompson,2022-12-17,37706,37706
Aguilar-Thompson,2023-02-08,30604,68310
Aguilar-Thompson,2023-12-21,12877,81187
Aguilar-Thompson,2024-01-20,18403,99590
"Alexander, Gordon and Cox",2022-10-12,11923,11923
"Alexander, Gordon and Cox",2024-09-29,45700,57623
"Allen LLC",2022-11-30,25730,25730
"Allen Ltd",2023-04-17,46601,46601
"Allen Ltd",2024-02-01,32480,79081
Allen-Brown,2019-11-14,33501,33501
Allen-Brown,2022-02-22,42046,75547
Alvarez-Miller,2021-12-12,39611,39611
Alvarez-Wilson,2022-07-27,27999,27999
Alvarez-Wilson,2022-09-27,24124,52123
Alvarez-Wilson,2023-12-10,33971,86094
Alvarez-Wilson,2024-03-03,33729,119823
"Andersen, Montgomery and White",2019-12-26,6598,6598
"Andersen, Montgomery and White",2021-04-12,5590,12188
"Andersen, Montgomery and White",2021-07-26,40037,52225
"Andersen, Montgomery and White",2021-10-02,20028,72253
"Andersen, Montgomery and White",2023-03-24,12012,84265
"Anderson Group",2022-04-21,39078,39078
"Anderson Group",2023-08-03,5685,44763
"Anderson Inc",2021-01-28,42758,42758
"Anderson Inc",2022-01-26,2393,45151
"Anderson Inc",2022-04-08,7486,52637
"Anderson Inc",2022-06-23,37549,90186
"Anderson LLC",2020-04-17,6859,6859
"Anderson LLC",2022-05-29,25125,31984
"Anderson LLC",2023-07-26,9785,41769
"Anderson, Anthony and Lewis",2019-11-24,41340,41340
"Anderson, Anthony and Lewis",2020-03-13,17465,58805
"Anderson, Anthony and Lewis",2020-09-01,34332,93137
"Anderson, Anthony and Lewis",2021-06-18,5569,98706
"Anderson, Harrison and Burton",2021-08-11,2756,2756
"Anderson, Harrison and Burton",2021-09-07,39568,42324
"Anderson, Harrison and Burton",2021-10-06,40099,82423
"Anderson, Harrison and Burton",2022-12-14,22730,105153
"Anderson, Harrison and Burton",2023-03-07,23861,129014
"Anderson, Harrison and Burton",2023-06-25,25317,154331
"Anderson, Patel and Stewart",2021-01-31,20930,20930
"Anderson, Patel and Stewart",2021-05-20,11301,32231
"Anderson, Patel and Stewart",2021-12-05,36325,68556
"Anderson, Patel and Stewart",2023-04-22,13231,81787
"Anderson, Patel and Stewart",2023-08-31,24278,106065
"Anderson, Patel and Stewart",2023-11-25,44965,151030
"Anderson, Patel and Stewart",2023-12-14,30841,181871
"Andrews, Smith and Mason",2020-01-05,40620,40620
"Andrews, Smith and Mason",2021-01-13,5559,46179
"Andrews, Smith and Mason",2022-05-29,25516,71695
"Andrews, Smith and Mason",2023-08-06,20822,92517
"Arnold, Lam and Case",2019-12-17,20056,20056
"Arnold, Lam and Case",2021-02-10,12919,32975
"Arnold, Lam and Case",2021-07-28,3451,36426
"Atkinson, Fuller and Ingram",2020-03-22,44966,44966
"Atkinson, Fuller and Ingram",2024-02-12,29821,74787
"Atkinson, Fuller and Ingram",2024-07-06,1654,76441
"Austin, Cross and Mclean",2020-01-16,37783,37783
"Austin, Cross and Mclean",2020-07-31,7744,45527
"Austin, Cross and Mclean",2023-02-10,3355,48882
"Austin, Cross and Mclean",2023-07-23,31152,80034
"Austin, Miller and Thomas",2020-04-28,7999,7999
"Austin, Miller and Thomas",2021-10-03,6897,14896
Baker-Sanders,2019-12-29,25685,25685
Baker-Sanders,2021-09-01,31307,56992
Baker-Sanders,2023-02-19,13052,70044
Baker-Sanders,2023-12-13,3951,73995
Baker-Sanders,2024-09-02,16758,90753
"Ball and Sons",2021-07-11,45953,45953
"Ball and Sons",2022-04-10,21499,67452
"Ball and Sons",2022-09-07,19034,86486
"Ball and Sons",2024-04-19,11852,98338
"Banks, Coleman and Joyce",2021-03-09,19310,19310
"Banks, Coleman and Joyce",2023-08-28,1361,20671
"Barr and Sons",2020-08-18,15513,15513
"Barr and Sons",2021-11-16,25528,41041
"Barr and Sons",2021-12-07,31444,72485
"Barr and Sons",2022-12-12,9545,82030
Barron-Mcgee,2021-08-05,25397,25397
Barron-Mcgee,2022-11-13,46195,71592
Barron-Mcgee,2023-11-30,32188,103780
"Barron, Thomas and Arias",2020-05-14,6795,6795
"Barron, Thomas and Arias",2020-10-22,12955,19750
"Barron, Thomas and Arias",2022-03-09,37596,57346
"Barron, Thomas and Arias",2023-07-26,4871,62217
"Beltran PLC",2022-11-16,4693,4693
Bennett-Benson,2019-11-02,28482,28482
Bennett-Benson,2021-01-01,27875,56357
Bennett-Benson,2022-01-18,43508,99865
Bennett-Benson,2022-02-09,20233,120098
Bennett-Benson,2023-08-04,41585,161683
"Bennett, Hess and Hernandez",2020-01-03,20909,20909
"Bennett, Hess and Hernandez",2021-05-18,15916,36825
"Bennett, Hess and Hernandez",2022-06-16,13371,50196
"Bentley, Barnes and Martin",2021-12-25,31910,31910
"Bentley, Barnes and Martin",2023-09-05,18471,50381
"Best, Brown and Anderson",2019-11-11,28217,28217
"Best, Brown and Anderson",2023-08-11,46637,74854
"Best, Willis and Brandt",2021-06-26,32877,32877
"Best, Willis and Brandt",2024-02-17,30778,63655
"Blevins PLC",2020-10-25,38898,38898
"Blevins PLC",2021-04-21,4200,43098
"Blevins PLC",2022-09-13,27982,71080
"Blevins PLC",2023-09-24,11552,82632
Blevins-Nguyen,2022-12-14,4648,4648
"Bonilla, White and Hall",2020-10-23,36110,36110
"Bowen, Garza and Scott",2021-06-13,22501,22501
"Bowen, Garza and Scott",2023-01-13,7526,30027
"Boyd Ltd",2020-02-21,32408,32408
"Boyd Ltd",2020-06-24,30211,62619
"Boyd Ltd",2020-07-23,49665,112284
"Boyd Ltd",2020-08-12,7444,119728
"Boyd Ltd",2022-08-09,35695,155423
"Boyd, Thompson and Rodriguez",2021-03-14,15562,15562
"Boyd, Thompson and Rodriguez",2021-06-08,38343,53905
"Bradley Inc",2020-02-28,29506,29506
"Bradley Inc",2020-11-16,8281,37787
"Bradley Inc",2021-01-09,7314,45101
"Branch and Sons",2020-05-23,37492,37492
"Branch and Sons",2022-07-05,13894,51386
"Branch and Sons",2023-02-07,47601,98987
"Branch and Sons",2023-12-25,26448,125435
"Brandt, Cain and Simon",2020-11-03,32735,32735
"Brandt, Cain and Simon",2021-08-25,46542,79277
"Brandt, Cain and Simon",2022-08-31,29909,109186
"Brandt, Cain and Simon",2022-11-15,28555,137741
"Brennan and Sons",2019-12-23,11440,11440
"Brennan and Sons",2020-08-25,45309,56749
"Brennan and Sons",2020-12-07,33222,89971
"Brennan and Sons",2021-09-27,34386,124357
"Brennan and Sons",2021-10-14,44434,168791
"Brennan and Sons",2022-01-24,4100,172891
"Brennan and Sons",2022-02-03,28800,201691
"Brewer, Abbott and Bolton",2020-01-07,20377,20377
"Brewer, Abbott and Bolton",2021-12-21,49756,70133
"Brewer, Abbott and Bolton",2024-10-08,45832,115965
"Brewer, Henry and Ryan",2020-06-07,48734,48734
"Brewer, Henry and Ryan",2020-06-24,35146,83880
"Brewer, Henry and Ryan",2022-03-02,12615,96495
"Brewer, Henry and Ryan",2024-03-09,41812,138307
"Brewer, Henry and Ryan",2024-09-28,7588,145895
"Bright and Sons",2020-05-10,43891,43891
"Bright and Sons",2021-10-30,48025,91916
"Bright and Sons",2023-01-20,22885,114801
"Bright and Sons",2024-02-13,6441,121242
"Bright and Sons",2024-09-26,38026,159268
"Brooks, Mason and Colon",2021-01-22,24203,24203
"Brooks, Mason and Colon",2022-06-11,19061,43264
"Brooks, Mason and Colon",2024-07-20,18446,61710
Brown-Riley,2021-11-09,43078,43078
Brown-Riley,2022-06-02,34148,77226
Brown-Smith,2021-04-20,25693,25693
Brown-Smith,2021-05-01,47230,72923
Brown-Smith,2021-06-25,10318,83241
Brown-Smith,2023-06-10,25635,108876
Brown-Smith,2023-07-13,49172,158048
"Bryan, Hall and Wise",2019-11-21,29482,29482
"Bryan, Hall and Wise",2021-08-01,39567,69049
"Bryan, Hall and Wise",2022-02-13,38792,107841
"Bryan, Hall and Wise",2022-08-06,29842,137683
"Bryan, Hall and Wise",2023-07-18,17956,155639
"Bryan, Hall and Wise",2024-02-23,6986,162625
"Bryant, Douglas and Murphy",2019-10-27,17081,17081
"Bryant, Douglas and Murphy",2021-04-12,27090,44171
