property_type,transaction_amount
Industrial,9160603
Industrial,9160621
Industrial,9228927
Industrial,9236245
Industrial,9239642
Industrial,9250110
Industrial,9258315
Industrial,9304016
Industrial,9321992
Industrial,9381882
Industrial,9388663
Industrial,9394075
Industrial,9418479
Industrial,9430248
Industrial,9503893
Industrial,9536870
Industrial,9557060
Industrial,9618108
Industrial,9651087
Industrial,9670587
Industrial,9704320
Industrial,9728380
Industrial,9785467
Industrial,9794098
Industrial,9851426
Industrial,9876720
Industrial,9917127
Industrial,9973604
Industrial,9987094
Office,8621570
Office,8644203
Office,8706219
Office,8939389
Office,8975786
Office,9103554
Office,9221097
Office,9263620
Office,9264450
Office,9269826
Office,9303366
Office,9332146
Office,9509351
Office,9556934
Office,9570059
Office,9587443
Office,9607373
Office,9641732
Office,9679992
Office,9691512
Office,9698871
Office,9732815
Office,9785530
Office,9816509
Office,9864856
Residential,9110334
Residential,9133635
Residential,9144134
Residential,9169442
Residential,9207612
Residential,9222308
Residential,9229356
Residential,9238255
Residential,9239443
Residential,9243391
Residential,9259452
Residential,9323708
Residential,9362041
Residential,9372342
Residential,9414863
Residential,9503073
Residential,9557266
Residential,9607297
Residential,9671846
Residential,9690512
Residential,9696743
Residential,9705421
Residential,9705839
Residential,9767302
Residential,9914293
Residential,9988821
Retail,9095042
Retail,9103332
Retail,9143564
Retail,9251494
Retail,9293504
Retail,9327052
Retail,9327607
Retail,9385351
Retail,9408217
Retail,9477839
Retail,9517425
Retail,9562841
Retail,9575267
Retail,9660558
Retail,9698219
Retail,9782466
Retail,9785716
Retail,9799056
Retail,9819997
Retail,9867422
Retail,9868773
Retail,9904214
