property_name,avg_3latest_leases
Adams-Knight,37848
Adams-Whitehead,33723
"Adams, May and Oneill",44092
"Adkins and Sons",37859
"Adkins LLC",18173
Aguilar-Thompson,20628
"Alexander, Gordon and Cox",28812
"Allen LLC",25730
"Allen Ltd",39541
Allen-Brown,37774
Alvarez-Miller,39611
Alvarez-Wilson,30608
"Andersen, Montgomery and White",24026
"Anderson Group",22382
"Anderson Inc",15809
"Anderson LLC",13923
"Anderson, Anthony and Lewis",19122
"Anderson, Harrison and Burton",23969
"Anderson, Patel and Stewart",33361
"Andrews, Smith and Mason",17299
"Arnold, Lam and Case",12142
"Atkinson, Fuller and Ingram",25480
"Austin, Cross and Mclean",14084
"Austin, Miller and Thomas",7448
Baker-Sanders,11254
"Ball and Sons",17462
"Banks, Coleman and Joyce",10336
"Barr and Sons",22172
Barron-Mcgee,34593
"Barron, Thomas and Arias",18474
"Beltran PLC",4693
Bennett-Benson,35109
"Bennett, Hess and Hernandez",16732
"Bentley, Barnes and Martin",25191
"Best, Brown and Anderson",37427
"Best, Willis and Brandt",31828
"Blevins PLC",14578
Blevins-Nguyen,4648
"Bonilla, White and Hall",36110
"Bowen, Garza and Scott",15014
"Boyd Ltd",30935
"Boyd, Thompson and Rodriguez",26953
"Bradley Inc",15034
"Branch and Sons",29314
"Brandt, Cain and Simon",35002
"Brennan and Sons",25778
"Brewer, Abbott and Bolton",38655
"Brewer, Henry and Ryan",20672
"Bright and Sons",22451
"Brooks, Mason and Colon",20570
Brown-Riley,38613
Brown-Smith,28375
"Bryan, Hall and Wise",18261
"Bryant, Douglas and Murphy",23345
Buck-Anderson,29634
"Burns, Castro and Mora",27601
"Burns, Cox and Whitehead",18063
"Burton, Chase and Garcia",16929
"Bush LLC",13325
Byrd-Rodriguez,30232
Cain-Alexander,9647
"Cameron, Park and Willis",28315
"Campbell Inc",12745
Campbell-Rodriguez,22070
"Campos Inc",12379
"Campos, Burgess and Webb",32243
"Cannon Group",25130
"Cannon Inc",15791
"Carpenter, Washington and Ramirez",12220
"Carpenter, Yang and Barton",29136
Carroll-Mason,39397
"Carter Ltd",17936
Carter-Marquez,22186
"Casey and Sons",36650
"Chan, Davenport and Mccoy",30776
Chandler-Campbell,1142
Chaney-Jones,25678
"Chang, West and Fields",31500
"Chavez, Briggs and Perkins",30133
"Choi Inc",29805
"Christian, Herring and Garza",11239
"Christian, Murray and Little",20193
"Cisneros Group",19898
"Clark LLC",10100
Clark-Riggs,12286
"Clarke, Herrera and Logan",31259
"Clayton Inc",21339
Cline-Hill,20724
Coleman-Hayes,38436
Collins-Mccoy,28468
Contreras-Delgado,11710
"Conway Inc",12713
"Cook and Sons",13057
"Cook, Mendoza and Leonard",29486
"Cooper Group",23458
Cooper-Michael,28056
"Costa LLC",33738
"Cox PLC",34370
Cox-Hardin,18014
Craig-Foster,32131
Cruz-Green,31172
"Cunningham Inc",17343
Cunningham-Floyd,29921
"Cunningham, Berry and Howard",29583
"Davies, Mccoy and Cox",34820
"Davis Ltd",27498
Davis-Quinn,29053
Davis-Wood,27847
"Douglas LLC",32052
"Doyle LLC",29027
"Doyle PLC",23442
"Drake, Moore and Stevenson",23115
"Durham, Peterson and Rosario",47014
"Eaton Ltd",35448
Edwards-Miller,19535
Edwards-Stewart,16649
"Elliott Group",21873
"Ellis LLC",37622
Ellis-Barker,19119
"Estes and Sons",34163
"Estrada PLC",46273
"Evans LLC",17387
Evans-Marshall,27868
"Evans, Hardin and Rodriguez",33574
"Farrell, Schultz and Manning",13455
"Faulkner LLC",22507
Fernandez-Peterson,19459
"Fletcher Ltd",14588
"Flores Ltd",3195
Ford-Johnson,22882
"Francis, Willis and Davis",32660
Frederick-Wall,48096
"Freeman Group",12808
Freeman-Martinez,25216
"Frey and Sons",23156
"Fuller Group",27839
"Gallagher PLC",15670
"Gallegos and Sons",26490
"Garcia and Sons",23473
"Garcia Inc",18971
"Garcia Ltd",33739
Gardner-Young,42741
Garrett-Edwards,27380
Garrett-Page,34763
"Gentry Inc",27616
"George, Callahan and Ochoa",28901
"George, Reed and Frazier",29581
"Gibson, Martin and Russell",28775
"Gilbert and Sons",27911
"Gilmore, Frazier and Bright",27031
"Gomez LLC",26385
"Gonzalez Ltd",22786
Goodwin-Bishop,32568
Gregory-Pena,33376
"Gregory, Hensley and Ross",36676
Griffin-Miller,39458
Griffin-Velez,33248
"Guerrero PLC",12493
"Guerrero, Roberts and Taylor",25647
"Gutierrez, Dunn and Mitchell",15147
"Hall Inc",27759
Hall-Burns,37305
"Hall, Gomez and Diaz",7301
"Hancock, Pearson and Murphy",30565
"Harris LLC",23593
Harris-Mullins,24174
"Harrison PLC",30475
Harvey-Cunningham,43588
Harvey-Scott,41083
Hawkins-Scott,40907
"Henderson, Townsend and Gordon",28588
"Hendricks Group",23619
Hernandez-Ballard,28697
Hernandez-Hebert,43404
Hernandez-Sanders,26652
"Hernandez, Jackson and Nguyen",26611
"Herrera Group",36954
"Herrera Ltd",29055
"Herrera PLC",25749
"Hester PLC",13358
"Hickman and Sons",26123
"Higgins Group",34901
"Hill, Gonzales and Hansen",29151
"Hill, Perkins and Fleming",27936
"Hodge, Mclaughlin and Jones",23157
"Hoffman, Hensley and Martinez",24778
"Hogan Group",28720
Holmes-Barrett,17131
"Horn, Reed and Miller",23451
