property_name,avg_net_transaction
"Adams, May and Oneill",-9243391
"Adkins and Sons",-1973895
"Adkins LLC",-3572069
"Alexander, Gordon and Cox",-5426997
"Allen LLC",-2975134
"Allen Ltd",-3182998
Alvarez-Miller,-3863011
Alvarez-Wilson,8267822
"Andersen, Montgomery and White",-4646073
"Anderson Group",1600620
"Anderson LLC",3510392
"Anderson, Harrison and Burton",-3740624
"Anderson, Patel and Stewart",-4003696
"Andrews, Smith and Mason",9014872
"Arnold, Lam and Case",-2905664
"Atkinson, Fuller and Ingram",-2317401
"Austin, Cross and Mclean",1182630
"Austin, Miller and Thomas",8118310
Baker-Sanders,1447086
"Ball and Sons",-4317396
"Banks, Coleman and Joyce",-1425636
"Barr and Sons",-7758276
Barron-Mcgee,30894
"Beltran PLC",-4324523
Bennett-Benson,-6063779
"Bennett, Hess and Hernandez",244387
"Bentley, Barnes and Martin",-9229356
"Best, Brown and Anderson",-4686622
"Best, Willis and Brandt",-5566616
"Blevins PLC",328095
Blevins-Nguyen,1791096
"Bonilla, White and Hall",3412146
"Bowen, Garza and Scott",-1607826
"Boyd Ltd",7376069
"Boyd, Thompson and Rodriguez",-5500979
"Bradley Inc",-6447213
"Branch and Sons",-1006815
"Brandt, Cain and Simon",-3038481
"Brennan and Sons",-715199
"Brewer, Abbott and Bolton",-6214614
"Brewer, Henry and Ryan",-2034270
"Bright and Sons",-1599029
Brown-Riley,-3031238
Brown-Smith,-1616995
"Bryan, Hall and Wise",-3602542
"Bryant, Douglas and Murphy",-8838717
Buck-Anderson,-5727442
"Burns, Castro and Mora",2717378
"Burns, Cox and Whitehead",385915
"Burton, Chase and Garcia",-7453194
Cain-Alexander,-5689293
"Cameron, Park and Willis",-1453259
"Campbell Inc",-5249142
Campbell-Rodriguez,-3134732
"Campos Inc",-2936934
"Campos, Burgess and Webb",-7156756
"Cannon Group",-2986949
"Cannon Inc",1864635
"Carpenter, Washington and Ramirez",-2955491
"Carpenter, Yang and Barton",1312851
"Carter Ltd",-6288362
Carter-Marquez,-7918294
"Casey and Sons",-8305737
"Chan, Davenport and Mccoy",4843290
Chandler-Campbell,-4212447
"Chang, West and Fields",-4669392
"Chavez, Briggs and Perkins",-20238
"Choi Inc",1139045
"Christian, Herring and Garza",-5099375
"Christian, Murray and Little",-5639886
"Cisneros Group",-8162041
"Clark LLC",8003033
Clark-Riggs,-8551597
"Clarke, Herrera and Logan",-6037506
Cline-Hill,1377530
Collins-Mccoy,-451092
Contreras-Delgado,-5602861
"Conway Inc",-8772965
"Cook and Sons",-4904577
"Cooper Group",-7607717
Cooper-Michael,-395774
"Costa LLC",-5260726
Craig-Foster,-3290334
Cruz-Green,-3368194
Cunningham-Floyd,2548463
"Cunningham, Berry and Howard",-687378
"Davies, Mccoy and Cox",-2261860
Davis-Quinn,-2456051
Davis-Wood,-4391554
"Douglas LLC",-599911
"Doyle LLC",-5298882
"Doyle PLC",1953901
"Drake, Moore and Stevenson",725385
"Durham, Peterson and Rosario",9085869
Edwards-Miller,-923426
Edwards-Stewart,-5854698
"Elliott Group",-8798522
Ellis-Barker,-1436805
"Estes and Sons",2567757
"Estrada PLC",-4797734
"Evans LLC",-7407577
Evans-Marshall,-9042981
"Evans, Hardin and Rodriguez",-1959964
"Faulkner LLC",-2188320
Fernandez-Peterson,-4431889
"Fletcher Ltd",4174976
"Flores Ltd",-159936
Ford-Johnson,-775846
"Francis, Willis and Davis",-5036499
Frederick-Wall,-3482164
"Freeman Group",-3234088
Freeman-Martinez,-2837342
"Frey and Sons",5038756
"Fuller Group",-1888317
"Gallegos and Sons",-3423830
"Garcia and Sons",-4659117
"Garcia Inc",-2232749
"Garcia Ltd",606020
Gardner-Young,367961
Garrett-Edwards,1400930
Garrett-Page,-4206560
"Gentry Inc",-2127045
"George, Callahan and Ochoa",-9323708
"George, Reed and Frazier",-6548083
Gibson-Morgan,-4552845
"Gibson, Martin and Russell",-183807
"Gilbert and Sons",-1111042
"Gilmore, Frazier and Bright",-4071523
"Gomez LLC",7253375
"Gonzalez Ltd",-535299
Gregory-Pena,3900992
"Gregory, Hensley and Ross",-618316
Griffin-Miller,-5835799
Griffin-Velez,-2659040
"Guerrero PLC",-159462
"Guerrero, Cain and Arnold",5794081
"Guerrero, Roberts and Taylor",-1683812
"Gutierrez, Dunn and Mitchell",-1933501
"Hall Inc",-9518671
Hall-Burns,-4322465
"Hall, Gomez and Diaz",-2779758
"Hancock, Pearson and Murphy",-3228346
Harris-Mullins,981379
"Harrison PLC",3282809
Harvey-Cunningham,-3283685
Hawkins-Scott,-4671096
"Hendricks Group",-8545922
Hernandez-Ballard,-676433
Hernandez-Hebert,-3289231
Hernandez-Sanders,-2361864
"Hernandez, Jackson and Nguyen",-7197899
"Herrera Group",-4763285
"Herrera Ltd",-5893346
"Herrera PLC",-6354147
"Hester PLC",7274305
"Higgins Group",135988
"Hill, Gonzales and Hansen",-7394987
"Hill, Perkins and Fleming",-5926693
"Hoffman, Hensley and Martinez",-3733921
"Hogan Group",3982303
Holmes-Barrett,746117
"Horn, Reed and Miller",2845309
"Horton and Sons",-6970138
"Horton, Lopez and Sparks",-6170741
"House PLC",-4885544
"Howard Inc",538681
"Huang, Clark and Foster",-3739338
Huber-Johnson,6152392
"Hurst Inc",-421730
Ibarra-Booker,-6836044
"Jackson Group",-4151829
"Jackson Inc",-3179386
"Jackson, Davis and Gill",-4972306
"Jackson, Mckay and Sanchez",-8018851
"Jenkins, Jackson and Lopez",-2896947
"Jimenez, Wolfe and Mcfarland",-7011541
"Johnson and Sons",-6713674
Johnson-Beltran,-4903504
Johnson-Mckinney,-2974117
Johnson-Reeves,1418882
"Johnson, Graham and Wagner",-1522021
"Johnson, Harrison and Mcgee",8560732
"Johnson, Powell and Walker",9698871
"Johnson, Weaver and Torres",-3921498
"Jones Inc",-715019
Jones-Atkins,-5010394
Jones-Gray,-1371004
Jones-Villa,-6689584
