property_name,avg_maintenance_cost
Wagner-Acevedo,4962
"Barr and Sons",4839
"Bentley, Barnes and Martin",4839
"Clark LLC",4712
"White, Holt and Padilla",4672
Hernandez-Sanders,4574
"George, Reed and Frazier",4568
"Evans, Hardin and Rodriguez",4566
Hunt-Bender,4563
"Richmond Ltd",4556
Carter-Marquez,4514
Goodwin-Bishop,4496
"Farrell, Schultz and Manning",4410
Hawkins-Scott,4351
"Taylor Inc",4297
"Lloyd LLC",4257
"Clayton Inc",4232
"Sherman, Odonnell and Kelly",4170
Davis-Quinn,4161
"Cooper Group",4141
"Miles, Hill and Bell",4124
"Hancock, Pearson and Murphy",4101
"Wilson Group",4089
"Horn, Reed and Miller",4060
"Murray Group",4034
"Johnson, Powell and Walker",4006
"Parrish Inc",4004
"Meza, Gibson and Adams",4003
"Khan, White and Wall",3997
"Martinez, Cox and Malone",3980
"Spencer, Townsend and Woods",3948
Waters-Byrd,3940
Nelson-Phillips,3939
"Brewer, Abbott and Bolton",3928
"Walker Inc",3914
"Reid Group",3913
"Young, Garrison and Ward",3901
"Brooks, Gonzalez and Bell",3901
Shepherd-Lee,3891
"Davies, Mccoy and Cox",3882
"Costa LLC",3867
"Spence Inc",3864
Baker-Sanders,3841
Harris-Mullins,3838
"Mckinney, White and Mason",3827
"Arnold, Lam and Case",3820
"Patterson PLC",3818
Frederick-Wall,3800
Martinez-Phillips,3773
"Velasquez PLC",3754
"Austin, Miller and Thomas",3730
"Gomez LLC",3727
"Strong, Hale and Key",3725
Rodriguez-Gonzales,3724
"Andersen, Montgomery and White",3723
"Best, Brown and Anderson",3701
"Jones, Barrera and Hines",3685
"Hill, Perkins and Fleming",3684
"Norman and Sons",3648
Cooper-Michael,3626
"Christian, Herring and Garza",3624
Harvey-Scott,3588
"Jackson, Davis and Gill",3582
"Landry LLC",3578
"Thomas Ltd",3561
"Doyle PLC",3533
"Snyder, Johnson and Clark",3524
Clark-Riggs,3491
"Price PLC",3480
"Morris, Gonzalez and Diaz",3476
"Banks, Coleman and Joyce",3470
"Myers Ltd",3446
"Salazar PLC",3437
"Burton, Chase and Garcia",3430
"Herrera Ltd",3430
Johnson-Mckinney,3423
"Williams LLC",3416
"Miller Inc",3412
"Vasquez, Willis and Little",3406
"Davis Ltd",3403
Evans-Marshall,3398
"Knight, Henry and Chandler",3397
"Hall, Gomez and Diaz",3396
"Swanson, Benson and Campbell",3394
"Riddle LLC",3376
"Martin PLC",3374
Cain-Alexander,3367
"Frey and Sons",3361
"Hoffman, Hensley and Martinez",3358
"Spencer, Zamora and Horton",3357
Allen-Brown,3357
"Christian, Murray and Little",3357
Aguilar-Thompson,3356
"Herrera Group",3352
"Douglas LLC",3330
"Johnson and Sons",3327
"Ramirez, Ramirez and Jackson",3326
"Williams, Wilson and Ellis",3322
"Francis, Willis and Davis",3315
